// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;ordinal;isObj;senseable;controls;settable;parameters
totalItems;0;false;true;false;;
firstItem;1;false;true;false;;
totalLiquids;2;false;true;false;;
totalPower;3;false;true;false;;
itemCapacity;4;false;true;false;;
liquidCapacity;5;false;true;false;;
powerCapacity;6;false;true;false;;
powerNetStored;7;false;true;false;;
powerNetCapacity;8;false;true;false;;
powerNetIn;9;false;true;false;;
powerNetOut;10;false;true;false;;
ammo;11;false;true;false;;
ammoCapacity;12;false;true;false;;
health;13;false;true;false;;
maxHealth;14;false;true;false;;
heat;15;false;true;false;;
efficiency;16;false;true;false;;
timescale;17;false;true;false;;
rotation;18;false;true;false;;
x;19;false;true;false;;
y;20;false;true;false;;
shootX;21;false;true;false;;
shootY;22;false;true;false;;
size;23;false;true;false;;
dead;24;false;true;false;;
range;25;false;true;false;;
shooting;26;false;true;false;;
boosting;27;false;true;false;;
mineX;28;false;true;false;;
mineY;29;false;true;false;;
mining;30;false;true;false;;
team;31;false;true;false;;
type;32;false;true;false;;
flag;33;false;true;false;;
controlled;34;false;true;false;;
controller;35;false;true;false;;
commanded;36;false;true;false;;
name;37;false;true;false;;
config;38;false;true;false;;
payloadCount;39;false;true;false;;
payloadType;40;false;true;false;;
enabled;41;false;true;true;;to
shoot;42;false;false;true;;x,y,shoot
shootp;43;true;false;true;;unit,shoot
configure;44;true;true;true;;to
color;45;false;false;true;;r,g,b
