// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;senseable;controls;settable;parameters
totalItems;true;false;false;
firstItem;true;false;false;
totalLiquids;true;false;false;
totalPower;true;false;true;
itemCapacity;true;false;false;
liquidCapacity;true;false;false;
powerCapacity;true;false;false;
powerNetStored;true;false;false;
powerNetCapacity;true;false;false;
powerNetIn;true;false;false;
powerNetOut;true;false;false;
ammo;true;false;false;
ammoCapacity;true;false;false;
currentAmmoType;true;false;false;
health;true;false;true;
maxHealth;true;false;false;
heat;true;false;false;
shield;true;false;true;
armor;true;false;true;
efficiency;true;false;false;
progress;true;false;false;
timescale;true;false;false;
rotation;true;false;true;
x;true;false;true;
y;true;false;true;
velocityX;true;false;true;
velocityY;true;false;true;
shootX;true;false;false;
shootY;true;false;false;
cameraX;true;false;false;
cameraY;true;false;false;
cameraWidth;true;false;false;
cameraHeight;true;false;false;
size;true;false;false;
solid;true;false;false;
dead;true;false;false;
range;true;false;false;
shooting;true;false;false;
boosting;true;false;false;
mineX;true;false;false;
mineY;true;false;false;
mining;true;false;false;
speed;true;false;true;
team;true;false;true;
type;true;false;false;
flag;true;false;true;
controlled;true;false;false;
controller;true;false;false;
name;true;false;false;
payloadCount;true;false;false;
payloadType;true;false;true;
totalPayload;true;false;false;
payloadCapacity;true;false;false;
id;true;false;false;
enabled;true;true;false;to
shoot;false;true;false;x,y,shoot
shootp;false;true;false;unit,shoot
config;true;true;false;to
color;true;true;false;to
