// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;global;isobj;constant;numval
@unit;global;false;true;0.0
@this;global;false;true;0.0
@counter;global;false;false;0.0
the end;global;true;true;0.0
false;global;false;true;0.0
true;global;false;true;1.0
null;global;true;true;0.0
@pi;global;false;true;3.1415927410125732
π;global;false;true;3.1415927410125732
@e;global;false;true;2.7182817459106445
@degToRad;global;false;true;0.01745329238474369
@radToDeg;global;false;true;57.2957763671875
@time;global;false;true;0.0
@tick;global;false;true;0.0
@second;global;false;true;0.0
@minute;global;false;true;0.0
@waveNumber;global;false;true;0.0
@waveTime;global;false;true;0.0
@ctrlProcessor;global;false;true;1.0
@ctrlPlayer;global;false;true;2.0
@ctrlCommand;global;false;true;3.0
@derelict;global;true;true;0.0
@sharded;global;true;true;0.0
@crux;global;true;true;0.0
@malis;global;true;true;0.0
@green;global;true;true;0.0
@blue;global;true;true;0.0
@copper;global;true;true;0.0
@lead;global;true;true;0.0
@metaglass;global;true;true;0.0
@graphite;global;true;true;0.0
@sand;global;true;true;0.0
@coal;global;true;true;0.0
@titanium;global;true;true;0.0
@thorium;global;true;true;0.0
@scrap;global;true;true;0.0
@silicon;global;true;true;0.0
@plastanium;global;true;true;0.0
@phase-fabric;global;true;true;0.0
@surge-alloy;global;true;true;0.0
@spore-pod;global;true;true;0.0
@blast-compound;global;true;true;0.0
@pyratite;global;true;true;0.0
@beryllium;global;true;true;0.0
@tungsten;global;true;true;0.0
@oxide;global;true;true;0.0
@carbide;global;true;true;0.0
@fissile-matter;global;true;true;0.0
@dormant-cyst;global;true;true;0.0
@water;global;true;true;0.0
@slag;global;true;true;0.0
@oil;global;true;true;0.0
@cryofluid;global;true;true;0.0
@neoplasm;global;true;true;0.0
@arkycite;global;true;true;0.0
@gallium;global;true;true;0.0
@ozone;global;true;true;0.0
@hydrogen;global;true;true;0.0
@nitrogen;global;true;true;0.0
@cyanogen;global;true;true;0.0
@air;global;true;true;0.0
@spawn;global;true;true;0.0
@cliff;global;true;true;0.0
@build1;global;true;true;0.0
@build2;global;true;true;0.0
@build3;global;true;true;0.0
@build4;global;true;true;0.0
@build5;global;true;true;0.0
@build6;global;true;true;0.0
@build7;global;true;true;0.0
@build8;global;true;true;0.0
@build9;global;true;true;0.0
@build10;global;true;true;0.0
@build11;global;true;true;0.0
@build12;global;true;true;0.0
@build13;global;true;true;0.0
@build14;global;true;true;0.0
@build15;global;true;true;0.0
@build16;global;true;true;0.0
@deep-water;global;true;true;0.0
@shallow-water;global;true;true;0.0
@tainted-water;global;true;true;0.0
@deep-tainted-water;global;true;true;0.0
@darksand-tainted-water;global;true;true;0.0
@sand-water;global;true;true;0.0
@darksand-water;global;true;true;0.0
