// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;visibility;size;subclass;configurable;category;range;hasItems;acceptsItems;separateItemCapacity;itemCapacity;noSideBlend;unloadable;hasLiquids;outputsLiquid;liquidCapacity;hasPower;consumesPower;outputsPower;connectedPower;conductivePower;maxNodes;outputFacing;rotate;unitPlans
air;0;-1;hidden;1;AirBlock;false;distribution;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
spawn;1;-1;hidden;1;SpawnBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
cliff;2;-1;hidden;1;Cliff;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build1;3;-1;hidden;1;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build2;4;-1;hidden;2;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build3;5;-1;hidden;3;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build4;6;-1;hidden;4;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build5;7;-1;hidden;5;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build6;8;-1;hidden;6;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build7;9;-1;hidden;7;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build8;10;-1;hidden;8;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build9;11;-1;hidden;9;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build10;12;-1;hidden;10;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build11;13;-1;hidden;11;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build12;14;-1;hidden;12;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build13;15;-1;hidden;13;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build14;16;-1;hidden;14;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build15;17;-1;hidden;15;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
build16;18;-1;hidden;16;ConstructBlock;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
deepwater;19;-1;hidden;1;Floor;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
water;20;-1;hidden;1;Floor;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;
