// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;global;isobj;constant;numval
the end;global;true;true;0.0
false;global;false;true;0.0
true;global;false;true;1.0
null;global;true;true;0.0
@ctrlProcessor;global;false;true;1.0
@ctrlPlayer;global;false;true;2.0
@ctrlFormation;global;false;true;3.0
@copper;global;true;true;0.0
@lead;global;true;true;0.0
@metaglass;global;true;true;0.0
@graphite;global;true;true;0.0
@sand;global;true;true;0.0
@coal;global;true;true;0.0
@titanium;global;true;true;0.0
@thorium;global;true;true;0.0
@scrap;global;true;true;0.0
@silicon;global;true;true;0.0
@plastanium;global;true;true;0.0
@phase-fabric;global;true;true;0.0
@surge-alloy;global;true;true;0.0
@spore-pod;global;true;true;0.0
@blast-compound;global;true;true;0.0
@pyratite;global;true;true;0.0
@water;global;true;true;0.0
@slag;global;true;true;0.0
@oil;global;true;true;0.0
@cryofluid;global;true;true;0.0
@build1;global;true;true;0.0
@build2;global;true;true;0.0
@build3;global;true;true;0.0
@build4;global;true;true;0.0
@build5;global;true;true;0.0
@build6;global;true;true;0.0
@build7;global;true;true;0.0
@build8;global;true;true;0.0
@build9;global;true;true;0.0
@build10;global;true;true;0.0
@build11;global;true;true;0.0
@build12;global;true;true;0.0
@build13;global;true;true;0.0
@build14;global;true;true;0.0
@build15;global;true;true;0.0
@build16;global;true;true;0.0
@graphite-press;global;true;true;0.0
@multi-press;global;true;true;0.0
@silicon-smelter;global;true;true;0.0
@silicon-crucible;global;true;true;0.0
@kiln;global;true;true;0.0
@plastanium-compressor;global;true;true;0.0
@phase-weaver;global;true;true;0.0
@alloy-smelter;global;true;true;0.0
@cryofluid-mixer;global;true;true;0.0
@pyratite-mixer;global;true;true;0.0
@blast-mixer;global;true;true;0.0
@melter;global;true;true;0.0
@separator;global;true;true;0.0
@disassembler;global;true;true;0.0
@spore-press;global;true;true;0.0
@pulverizer;global;true;true;0.0
@coal-centrifuge;global;true;true;0.0
@incinerator;global;true;true;0.0
@copper-wall;global;true;true;0.0
@copper-wall-large;global;true;true;0.0
@titanium-wall;global;true;true;0.0
@titanium-wall-large;global;true;true;0.0
@plastanium-wall;global;true;true;0.0
@plastanium-wall-large;global;true;true;0.0
@thorium-wall;global;true;true;0.0
@thorium-wall-large;global;true;true;0.0
@phase-wall;global;true;true;0.0
@phase-wall-large;global;true;true;0.0
@surge-wall;global;true;true;0.0
@surge-wall-large;global;true;true;0.0
@door;global;true;true;0.0
@door-large;global;true;true;0.0
@scrap-wall;global;true;true;0.0
@scrap-wall-large;global;true;true;0.0
@scrap-wall-huge;global;true;true;0.0
@scrap-wall-gigantic;global;true;true;0.0
@thruster;global;true;true;0.0
@mender;global;true;true;0.0
@mend-projector;global;true;true;0.0
@overdrive-projector;global;true;true;0.0
@overdrive-dome;global;true;true;0.0
@force-projector;global;true;true;0.0
@shock-mine;global;true;true;0.0
@conveyor;global;true;true;0.0
@titanium-conveyor;global;true;true;0.0
@plastanium-conveyor;global;true;true;0.0
@armored-conveyor;global;true;true;0.0
@junction;global;true;true;0.0
@bridge-conveyor;global;true;true;0.0
@phase-conveyor;global;true;true;0.0
@sorter;global;true;true;0.0
@inverted-sorter;global;true;true;0.0
@router;global;true;true;0.0
@distributor;global;true;true;0.0
@overflow-gate;global;true;true;0.0
@underflow-gate;global;true;true;0.0
@mass-driver;global;true;true;0.0
@payload-conveyor;global;true;true;0.0
@payload-router;global;true;true;0.0
@mechanical-pump;global;true;true;0.0
@rotary-pump;global;true;true;0.0
@thermal-pump;global;true;true;0.0
@conduit;global;true;true;0.0
