// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;ordinal;isObj;senseable;controls;settable;parameters
totalItems;0;false;true;false;false;
firstItem;1;false;true;false;false;
totalLiquids;2;false;true;false;false;
totalPower;3;false;true;false;true;
itemCapacity;4;false;true;false;false;
liquidCapacity;5;false;true;false;false;
powerCapacity;6;false;true;false;false;
powerNetStored;7;false;true;false;false;
powerNetCapacity;8;false;true;false;false;
powerNetIn;9;false;true;false;false;
powerNetOut;10;false;true;false;false;
ammo;11;false;true;false;false;
ammoCapacity;12;false;true;false;false;
health;13;false;true;false;true;
maxHealth;14;false;true;false;false;
heat;15;false;true;false;false;
shield;16;false;true;false;false;
efficiency;17;false;true;false;false;
progress;18;false;true;false;false;
timescale;19;false;true;false;false;
rotation;20;false;true;false;true;
x;21;false;true;false;true;
y;22;false;true;false;true;
shootX;23;false;true;false;false;
shootY;24;false;true;false;false;
size;25;false;true;false;false;
dead;26;false;true;false;false;
range;27;false;true;false;false;
shooting;28;false;true;false;false;
boosting;29;false;true;false;false;
mineX;30;false;true;false;false;
mineY;31;false;true;false;false;
mining;32;false;true;false;false;
speed;33;false;true;false;false;
team;34;false;true;false;true;
type;35;false;true;false;false;
flag;36;false;true;false;true;
controlled;37;false;true;false;false;
controller;38;false;true;false;false;
name;39;false;true;false;false;
payloadCount;40;false;true;false;false;
payloadType;41;false;true;false;true;
id;42;false;true;false;false;
enabled;43;false;true;true;false;to
shoot;44;false;false;true;false;x,y,shoot
shootp;45;true;false;true;false;unit,shoot
config;46;true;true;true;false;to
color;47;false;true;true;false;to
