// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;ordinal;isObj;senseable;controls;settable;parameters
totalItems;0;false;true;false;false;
firstItem;1;false;true;false;false;
totalLiquids;2;false;true;false;false;
totalPower;3;false;true;false;true;
itemCapacity;4;false;true;false;false;
liquidCapacity;5;false;true;false;false;
powerCapacity;6;false;true;false;false;
powerNetStored;7;false;true;false;false;
powerNetCapacity;8;false;true;false;false;
powerNetIn;9;false;true;false;false;
powerNetOut;10;false;true;false;false;
ammo;11;false;true;false;false;
ammoCapacity;12;false;true;false;false;
currentAmmoType;13;false;true;false;false;
memoryCapacity;14;false;true;false;false;
health;15;false;true;false;true;
maxHealth;16;false;true;false;false;
heat;17;false;true;false;false;
shield;18;false;true;false;true;
armor;19;false;true;false;true;
efficiency;20;false;true;false;false;
progress;21;false;true;false;false;
timescale;22;false;true;false;false;
rotation;23;false;true;false;true;
x;24;false;true;false;true;
y;25;false;true;false;true;
velocityX;26;false;true;false;true;
velocityY;27;false;true;false;true;
shootX;28;false;true;false;false;
shootY;29;false;true;false;false;
cameraX;30;false;true;false;false;
cameraY;31;false;true;false;false;
cameraWidth;32;false;true;false;false;
cameraHeight;33;false;true;false;false;
size;34;false;true;false;false;
solid;35;false;true;false;false;
dead;36;false;true;false;false;
range;37;false;true;false;false;
shooting;38;false;true;false;false;
boosting;39;false;true;false;false;
mineX;40;false;true;false;false;
mineY;41;false;true;false;false;
mining;42;false;true;false;false;
speed;43;false;true;false;true;
team;44;false;true;false;true;
type;45;false;true;false;false;
flag;46;false;true;false;true;
controlled;47;false;true;false;false;
controller;48;false;true;false;false;
name;49;false;true;false;false;
payloadCount;50;false;true;false;false;
payloadType;51;false;true;false;true;
totalPayload;52;false;true;false;false;
payloadCapacity;53;false;true;false;false;
id;54;false;true;false;false;
enabled;55;false;true;true;false;to
shoot;56;false;false;true;false;x,y,shoot
shootp;57;true;false;true;false;unit,shoot
config;58;true;true;true;false;to
color;59;false;true;true;false;to
