// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;symbol
add;+
sub;-
mul;*
div;/
idiv;//
mod;%
emod;%%
pow;^
equal;==
notEqual;not
land;and
lessThan;<
lessThanEq;<=
greaterThan;>
greaterThanEq;>=
strictEqual;===
shl;<<
shr;>>
ushr;>>>
or;or
and;b-and
xor;xor
not;flip
max;max
min;min
angle;angle
angleDiff;anglediff
len;len
noise;noise
abs;abs
sign;sign
log;log
logn;logn
log10;log10
floor;floor
ceil;ceil
round;round
sqrt;sqrt
rand;rand
sin;sin
cos;cos
tan;tan
asin;asin
acos;acos
atan;atan
