// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;size;rotate;color;data
warn;false;false;false;false
cross;false;false;false;false
blockFall;false;false;false;true
placeBlock;true;false;false;false
placeBlockSpark;true;false;false;false
breakBlock;true;false;false;false
spawn;false;false;false;false
trail;true;false;true;false
breakProp;true;false;true;false
smokeCloud;false;false;true;false
vapor;false;false;true;false
hit;false;false;true;false
hitSquare;false;false;true;false
shootSmall;false;true;true;false
shootBig;false;true;true;false
smokeSmall;false;true;false;false
smokeBig;false;true;false;false
smokeColor;false;true;true;false
smokeSquare;false;true;true;false
smokeSquareBig;false;true;true;false
spark;false;false;true;false
sparkBig;false;false;true;false
sparkShoot;false;true;true;false
sparkShootBig;false;true;true;false
drill;false;false;true;false
drillBig;false;false;true;false
lightBlock;true;false;true;false
explosion;true;false;false;false
smokePuff;false;false;true;false
sparkExplosion;false;false;true;false
crossExplosion;true;false;true;false
wave;true;false;true;false
bubble;false;false;false;false
